before_image_id,after_image_id,pair_type,before_soma_area_mean,before_circularity_mean,before_neurite_length,before_branch_count,before_neurite_density,after_soma_area_mean,after_circularity_mean,after_neurite_length,after_branch_count,after_neurite_density,delta_soma_area_mean,delta_circularity_mean,delta_neurite_length,delta_branch_count,delta_neurite_density,dish,label,is_synthetic
d1_t00_ph014,d1_t02_ph185,real_longitudinal,3276.0,0.24801442698407702,212,16,0.06471306471306472,1146.6666666666667,0.32273860950495464,319,10,0.09273255813953489,-2129.333333333333,0.07472418252087762,107.0,-6.0,0.02801949342647017,1,2.0,False
d1_t00_ph015,d1_t02_ph184,real_longitudinal,1207.6666666666667,0.27048166171992855,340,46,0.09384487993375655,1045.25,0.3644952315514801,412,27,0.09854101889500119,-162.41666666666674,0.09401356983155157,72.0,-19.0,0.004696138961244642,1,2.0,False
d1_t00_ph016,d1_t02_ph185,real_longitudinal,1730.5,0.3214714481953389,233,30,0.06732158335741115,1146.6666666666667,0.32273860950495464,319,10,0.09273255813953489,-583.8333333333333,0.0012671613096157386,86.0,-20.0,0.025410974782123744,1,2.0,False
d1_t00_ph017,d1_t02_ph179,real_longitudinal,4506.0,0.0758909259882185,481,42,0.10674656014203285,825.6666666666666,0.19414834983671359,361,8,0.14574081550262413,-3680.3333333333335,0.11825742384849508,-120.0,-34.0,0.038994255360591284,1,2.0,False
d1_t00_ph018,d1_t02_ph170,real_longitudinal,2639.0,0.5405039676072818,119,20,0.04509283819628647,1755.5,0.41030153386218937,316,26,0.09000284819139846,-883.5,-0.13020243374509244,197.0,6.0,0.044910009995111994,1,2.0,False
d1_t00_ph019,d1_t02_ph187,real_longitudinal,1284.6666666666667,0.17801509497284726,610,88,0.15827711468604047,2622.0,0.16770861971214088,202,5,0.07704042715484363,1337.3333333333333,-0.010306475260706383,-408.0,-83.0,-0.08123668753119684,1,2.0,False
d1_t00_ph020,d1_t02_ph177,real_longitudinal,3626.0,0.23794845794317018,227,25,0.0626034197462769,1381.0,0.27992630292891213,398,36,0.0960656529085204,-2245.0,0.04197784498574195,171.0,11.0,0.033462233162243504,1,2.0,False
d1_t00_ph021,d1_t02_ph179,real_longitudinal,3578.0,0.17006304241999037,291,38,0.08133035215204025,825.6666666666666,0.19414834983671359,361,8,0.14574081550262413,-2752.3333333333335,0.024085307416723212,70.0,-30.0,0.06441046335058388,1,2.0,False
d1_t00_ph022,d1_t02_ph175,real_longitudinal,2612.0,0.1704793550509249,265,28,0.10145482388973966,347.85714285714283,0.3408470481131164,355,14,0.1457905544147844,-2264.1428571428573,0.1703676930621915,90.0,-14.0,0.044335730525044734,1,2.0,False
d1_t00_ph023,d1_t02_ph171,real_longitudinal,2267.0,0.1562344616009433,482,75,0.10630789589766211,605.0,0.23541664478569152,413,15,0.1365289256198347,-1662.0,0.07918218318474823,-69.0,-60.0,0.030221029722172596,1,2.0,False
d1_t00_ph024,d1_t02_ph189,real_longitudinal,1219.5,0.2549820647831111,288,39,0.11808118081180811,371.125,0.3051930719789743,425,16,0.1431458403502863,-848.375,0.05021100719586319,137.0,-23.0,0.02506465953847818,1,2.0,False
d1_t00_ph025,d1_t02_ph185,real_longitudinal,1990.5,0.24177887726852149,335,33,0.08414971112785732,1146.6666666666667,0.32273860950495464,319,10,0.09273255813953489,-843.8333333333333,0.08095973223643316,-16.0,-23.0,0.008582847011677566,1,2.0,False
d1_t00_ph026,d1_t02_ph182,real_longitudinal,1463.3333333333333,0.38425648258071826,328,56,0.07471526195899772,730.25,0.28021279385532144,374,20,0.1280383430332078,-733.0833333333333,-0.10404368872539682,46.0,-36.0,0.05332308107421008,1,2.0,False
d1_t00_ph027,d1_t02_ph176,real_longitudinal,3965.0,0.05637828798165072,507,67,0.12786885245901639,952.6666666666666,0.25189778856206474,362,15,0.12666200139958012,-3012.3333333333335,0.195519500580414,-145.0,-52.0,-0.0012068510594362702,1,2.0,False
d1_t00_ph028,d1_t02_ph186,real_longitudinal,1422.0,0.47535051157147473,372,54,0.08720112517580872,587.6666666666666,0.24186016595938717,477,29,0.13528077141236527,-834.3333333333334,-0.23349034561208756,105.0,-25.0,0.048079646236556556,1,2.0,False
d1_t00_ph029,d1_t02_ph180,real_longitudinal,4092.0,0.22086179218441113,285,30,0.06964809384164222,600.8,0.32290604148418556,382,18,0.12716378162450068,-3491.2,0.10204424929977443,97.0,-12.0,0.057515687782858455,1,2.0,False
d1_t00_ph030,d1_t02_ph177,real_longitudinal,5094.0,0.2080156115419328,335,26,0.06576364350215941,1381.0,0.27992630292891213,398,36,0.0960656529085204,-3713.0,0.07191069138697934,63.0,10.0,0.03030200940636099,1,2.0,False
d1_t00_ph031,d1_t02_ph177,real_longitudinal,2219.5,0.09794126245132437,504,56,0.11353908537959,1381.0,0.27992630292891213,398,36,0.0960656529085204,-838.5,0.18198504047758776,-106.0,-20.0,-0.017473432471069597,1,2.0,False
d1_t00_ph032,d1_t02_ph172,real_longitudinal,4275.0,0.039031100414918966,620,68,0.14502923976608187,416.5,0.3352162264466993,348,17,0.13925570228091236,-3858.5,0.2961851260317803,-272.0,-51.0,-0.005773537485169511,1,2.0,False
d1_t00_ph033,d1_t02_ph169,real_longitudinal,4487.0,0.06755680211580992,566,113,0.12614218854468465,453.1666666666667,0.2916966963161897,407,0,0.14968738506803972,-4033.8333333333335,0.2241398942003798,-159.0,-113.0,0.023545196523355072,1,2.0,False
d1_t00_ph034,d1_t02_ph180,real_longitudinal,2451.5,0.18348821177026794,500,44,0.10197838058331633,600.8,0.32290604148418556,382,18,0.12716378162450068,-1850.7,0.1394178297139176,-118.0,-26.0,0.025185401041184344,1,2.0,False
