image_id,dish,day,label,soma_area_mean,circularity_mean,neurite_length,branch_count,neurite_density
d1_t00_ph027,1,0,0.0,3965.0,0.05637828798165072,507,67,0.12786885245901639
d1_t00_ph028,1,0,0.0,1422.0,0.47535051157147473,372,54,0.08720112517580872
d1_t00_ph029,1,0,0.0,4092.0,0.22086179218441113,285,30,0.06964809384164222
d1_t00_ph030,1,0,0.0,5094.0,0.2080156115419328,335,26,0.06576364350215941
d1_t00_ph031,1,0,0.0,2219.5,0.09794126245132437,504,56,0.11353908537959
d1_t00_ph032,1,0,0.0,4275.0,0.039031100414918966,620,68,0.14502923976608187
d1_t00_ph033,1,0,0.0,4487.0,0.06755680211580992,566,113,0.12614218854468465
d1_t00_ph034,1,0,0.0,2451.5,0.18348821177026794,500,44,0.10197838058331633
d1_t00_ph035,1,0,0.0,1052.25,0.16885434411094202,559,59,0.13281064385839866
d1_t00_ph036,1,0,0.0,2055.5,0.276693736932951,348,40,0.08465093651179761
d1_t00_ph037,1,0,0.0,1902.0,0.22829759337291416,508,58,0.13354363827549948
d1_t00_ph038,1,0,0.0,3827.0,0.3297054922693412,250,32,0.06532532009406847
d1_t00_ph039,1,0,0.0,1379.6666666666667,0.2848614197658163,517,58,0.12490939840541193
d1_t00_ph040,1,0,0.0,4230.0,0.3427968036218172,302,43,0.07139479905437353
d1_t00_ph041,1,0,0.0,1671.6666666666667,0.31174474001680935,446,46,0.08893320039880359
d1_t00_ph042,1,0,0.0,1951.5,0.10827783254080334,441,52,0.11299000768639508
d1_t00_ph043,1,0,0.0,3813.0,0.18160464655545497,366,51,0.0959874114870181
d1_t00_ph044,1,0,0.0,3687.0,0.18144135739649622,234,20,0.06346623270951994
d1_t02_ph167,1,2,2.0,230.0,0.3469753382043051,249,13,0.18043478260869567
d1_t02_ph168,1,2,2.0,829.5,0.2658785220325188,335,5,0.10096443640747438
d1_t02_ph169,1,2,2.0,453.1666666666667,0.2916966963161897,407,0,0.14968738506803972
d1_t02_ph170,1,2,2.0,1755.5,0.41030153386218937,316,26,0.09000284819139846
d1_t02_ph171,1,2,2.0,605.0,0.23541664478569152,413,15,0.1365289256198347
d1_t02_ph172,1,2,2.0,416.5,0.3352162264466993,348,17,0.13925570228091236
d1_t02_ph173,1,2,2.0,358.4,0.31730061615462424,258,12,0.14397321428571427
d1_t02_ph174,1,2,2.0,281.44444444444446,0.35768399435119846,396,4,0.15633636004737467
d1_t02_ph175,1,2,2.0,347.85714285714283,0.3408470481131164,355,14,0.1457905544147844
d1_t02_ph176,1,2,2.0,952.6666666666666,0.25189778856206474,362,15,0.12666200139958012
d1_t02_ph177,1,2,2.0,1381.0,0.27992630292891213,398,36,0.0960656529085204
d1_t02_ph178,1,2,2.0,1085.6666666666667,0.2607361970629427,439,33,0.13478661344795825
d1_t02_ph179,1,2,2.0,825.6666666666666,0.19414834983671359,361,8,0.14574081550262413
d1_t02_ph180,1,2,2.0,600.8,0.32290604148418556,382,18,0.12716378162450068
d1_t02_ph181,1,2,2.0,1981.0,0.16006612463028233,358,15,0.09035840484603735
d1_t02_ph182,1,2,2.0,730.25,0.28021279385532144,374,20,0.1280383430332078
d1_t02_ph183,1,2,2.0,892.0,0.24735574943103678,275,28,0.10276532137518685
d1_t02_ph184,1,2,2.0,1045.25,0.3644952315514801,412,27,0.09854101889500119
d1_t02_ph185,1,2,2.0,1146.6666666666667,0.32273860950495464,319,10,0.09273255813953489
d1_t02_ph186,1,2,2.0,587.6666666666666,0.24186016595938717,477,29,0.13528077141236527
d1_t02_ph187,1,2,2.0,2622.0,0.16770861971214088,202,5,0.07704042715484363
d1_t02_ph188,1,2,2.0,447.0,0.25844763725353226,427,36,0.15920954511558538
d1_t02_ph189,1,2,2.0,371.125,0.3051930719789743,425,16,0.1431458403502863
d1_t02_ph190,1,2,2.0,1347.0,0.22589683097958038,366,12,0.09057164068299926
d1_t04_ph281,1,4,4.0,314.1666666666667,0.48299081544555245,235,16,0.1246684350132626
d1_t04_ph282,1,4,4.0,283.0,0.3156846085248525,231,6,0.16325088339222615
d1_t04_ph283,1,4,4.0,271.25,0.37359629505577974,318,20,0.14654377880184333
d1_t04_ph284,1,4,4.0,274.0,0.4388891798439902,328,36,0.1330089213300892
d1_t04_ph285,1,4,4.0,366.14285714285717,0.373105569604324,350,35,0.13655872024970736
d1_t04_ph286,1,4,4.0,701.3333333333334,0.31415555550603336,311,48,0.14781368821292776
d1_t04_ph287,1,4,4.0,327.6,0.3195619765240335,225,12,0.13736263736263737
d1_t04_ph288,1,4,4.0,341.5,0.28486468398774617,313,20,0.15275744265495364
d1_t04_ph289,1,4,4.0,385.57142857142856,0.27291058621566333,416,26,0.1541311596887736
d1_t04_ph290,1,4,4.0,262.0,0.3758402311691416,405,10,0.15458015267175573
d1_t04_ph291,1,4,4.0,281.0,0.2892586533791985,300,9,0.17793594306049823
d1_t04_ph292,1,4,4.0,416.5,0.24040745005728098,303,10,0.18187274909963985
d1_t04_ph293,1,4,4.0,365.75,0.475341363556841,202,18,0.13807245386192754
d1_t04_ph294,1,4,4.0,390.0,0.29732004594616307,363,52,0.15512820512820513
d1_t04_ph295,1,4,4.0,960.3333333333334,0.34711011293927707,374,38,0.1298160360985769
d1_t04_ph296,1,4,4.0,671.6,0.22860543656163376,521,32,0.15515187611673614
d1_t04_ph297,1,4,4.0,415.2857142857143,0.2624381518653863,463,22,0.15927072583419333
d1_t04_ph298,1,4,4.0,550.5,0.4487975835727461,372,39,0.11262488646684832
d1_t04_ph299,1,4,4.0,234.375,0.30986531793603045,365,18,0.19466666666666665
d1_t04_ph300,1,4,4.0,301.7142857142857,0.38489636804655986,316,9,0.14962121212121213
